id,acto,pregunta,titulo,texto,cifra_clave,no_significa,nivel,estado_publicacion,universo,limitacion,tabla,grafico,en_historia
P11,Acto 3 · El dinero en el bolsillo,¿Cómo se reparte el dinero de los CPS entre las personas?,Sin concentración extrema,"En los años completos, el 10 % de las personas con más valor contratado reunió entre 25 % y 28 % del total, y la mitad con menos valor entre 19 % y 23 % (índice de Gini 0,38–0,43): hay desigualdad moderada, sin un grupo pequeño que concentre la mayor parte. En un año completo, una persona sumó en promedio entre 19,2 y 22,5 millones de pesos constantes en CPS (mediana 14,0–18,0); el 10 % superior pasó de 42,7 millones.",10 % superior: 25–28 % del valor,"No mide ingresos totales: una persona puede tener otros contratos, empleos o fuentes.",Dato descriptivo,PUBLICABLE,"CPS de personas, Alcaldía central, valor con IPC publicado","Valor pactado al firmar, no pagado.",datos/salidas/07_historia/tablas/p11_sin_concentracion_extrema.csv,datos/salidas/07_historia/graficos/a3_reparto.png,True
P12,Acto 4 · Varias puertas,¿Cuántas personas han contratado con la Alcaldía y también con otras entidades?,15 % de los contratistas de la Alcaldía también tuvo CPS en otra entidad,"De las 8.663 personas con CPS en la Alcaldía central desde abril de 2021, 1.281 (15 %) también tuvieron CPS con otra entidad en algún momento: 631 con el Concejo, 323 con INDERBA, 163 con EDUBA, 140 con la Personería y 127 con Tránsito. 188 de ellas pasaron por tres o más entidades. Aparte, 397 contratistas de la Alcaldía aparecen en registros de servicios personales de la ESE que aún no se confirman como CPS. Cada entidad empezó a publicar con regularidad en SECOP II en un mes distinto (entre 2021-04 y 2025-07), por eso no se comparan gobiernos con este dato.",1.281 de 8.663 contratistas de la Alcaldía tuvieron CPS en otra entidad,"Contratar con dos entidades no es irregular: casi siempre son contratos en momentos distintos. Si hubo contratos al mismo tiempo se revisa en el 05 y requiere expedientes. El Concejo, la Personería y la Contraloría no dependen del alcalde.",Dato descriptivo,PUBLICABLE_CON_CAUTELA,CPS de personas naturales con identidad apta en las nueve entidades,Cobertura de SECOP II distinta por entidad; combinaciones con menos de 10 personas no se muestran.,datos/salidas/07_historia/tablas/p12_15_de_los_contratistas_de_la_alcaldia_ta.csv,datos/salidas/07_historia/graficos/a4_varias_entidades.png,True
P13,Acto 4 · Varias puertas,¿Cómo contratan las otras entidades?,Las otras entidades crecen en SECOP II,"INDERBA firmó entre 370 y 583 contratos por año completo; el Concejo, entre 269 y 304. La ESE pasó de 105 contratos en 2022 a 798 en 2025, y el Hospital Regional aparece solo desde 2025. Esos saltos pueden reflejar, al menos en parte, que las entidades empezaron a publicar en SECOP II; no se puede leer como más contratación sin revisar SECOP I.",ESE: 105 (2022) → 798 (2025) contratos,No se suman al alcalde las entidades autónomas. Los cambios de publicación impiden comparar gobiernos en estas entidades.,Dato descriptivo,PUBLICABLE_CON_CAUTELA,Contratos válidos de las nueve entidades,Cobertura de SECOP II distinta por entidad y año.,datos/salidas/07_historia/tablas/p13_las_otras_entidades_crecen_en_secop_ii.csv,datos/salidas/07_historia/graficos/a4_otras_entidades.png,True
P14,Acto 5 · El reloj político,¿Cuándo se firman los contratos?,La contratación llega en oleadas y en pocos días,"Los CPS se firman en tandas. Según el año, los 10 días con más firmas concentraron entre 16 % y 42 % de todos los CPS del año. El día de más firmas fue el 2 de febrero de 2022 (miércoles), con 541 CPS. Hay tandas en fin de semana: 206 CPS en sábados y domingos de enero de 2022; 336 CPS en sábados y domingos de junio de 2023; 625 CPS en sábados y domingos de enero de 2026. Y hay meses casi vacíos: en los meses calendario de julio a octubre de 2023 se firmaron 6 CPS en total.",16–42 % de los CPS del año en 10 días,Firmar en tanda no es ilegal ni prueba de nada: puede reflejar la planeación del año o la llegada de recursos. La fecha registrada en SECOP II puede no coincidir con la de suscripción del documento.,Patrón estadístico,PUBLICABLE_CON_CAUTELA,"CPS de personas naturales, Alcaldía central",Fecha de firma registrada en SECOP II; no se verificó contra el documento físico.,datos/salidas/07_historia/tablas/p14_la_contratacion_llega_en_oleadas_y_en_po.csv,datos/salidas/07_historia/graficos/a5_calendario_firmas.png,True
P15,Acto 5 · El reloj político,¿Qué pasó con la contratación antes de la Ley de Garantías de 2026?,2026: contratar antes de la veda y luego prorrogar,"Entre el 1 de enero y el 30 de enero de 2026 la Alcaldía firmó 3.039 CPS; 1.135 de ellos en los 10 días previos a la prohibición, 189 en sábado o domingo. Durante la prohibición (31 de enero de 2026 a 21 de junio de 2026) SECOP registra 2 CPS. El 42 % de los CPS de enero se prorrogó: el 98 % de esos contratos terminaba antes del fin de la veda y, con la prórroga, el 75 % quedó terminando en la última quincena de la veda o después. Según Colombia Compra Eficiente (Circular 006), la prohibición no cobija las prórrogas y adiciones de contratos vigentes.",3.039 CPS antes de la veda; 42 % prorrogados,"No prueba una irregularidad. Si alguna prórroga se usó para eludir la restricción, solo lo muestran los expedientes. El dato muestra que el ritmo de firmas coincide con el calendario electoral, no por qué.",Patrón estadístico,PUBLICABLE_CON_CAUTELA,"CPS de personas naturales, Alcaldía central",La fecha final original se estima restando los días adicionados; los contratos de 2026 siguen en ejecución.,datos/salidas/07_historia/tablas/p15_2026_contratar_antes_de_la_veda_y_luego.csv,datos/salidas/07_historia/graficos/a5_ley_garantias_2022_2026.png,True
P16,Acto 5 · El reloj político,¿Se firmaron CPS durante los periodos de prohibición de la Ley de Garantías?,CPS con fecha de firma dentro de los periodos de prohibición,"El artículo 33 de la Ley 996 de 2005 prohíbe la contratación directa en los cuatro meses previos a la elección presidencial. Con fecha de firma entre el 29 de enero de 2022 y el 19 de junio de 2022, SECOP II registra 938 CPS de la Alcaldía central: 874 en la primera semana y 24 después del primer mes. En el periodo equivalente de 2026 (31 de enero de 2026 a 21 de junio de 2026) registra 2. El cuaderno 05 cuenta 939 y 2 (incluye CPS sin identidad apta).",938 CPS en 2022 y 2 en 2026 con firma en la prohibición,"No es una conclusión legal. La ley exceptúa, entre otros, lo relacionado con defensa y seguridad del Estado, crédito público, emergencias educativas, sanitarias y desastres, y la contratación de entidades sanitarias y hospitalarias; además, la fecha de firma de SECOP II puede no ser la de suscripción. Si hubo infracción solo lo dicen los expedientes.",Dato descriptivo,PUBLICABLE_CON_CAUTELA,"CPS de personas naturales, Alcaldía central",Conteo por fecha de firma registrada; la legalidad de cada contrato requiere su expediente.,datos/salidas/07_historia/tablas/p16_cps_con_fecha_de_firma_dentro_de_los_per.csv,,True
P17,Acto 5 · El reloj político,¿Qué pasó antes de las elecciones locales de 2023?,Junio de 2023: la tanda antes de las elecciones locales,"En los 30 días previos al 29 de junio de 2023 (inicio de las restricciones territoriales por las elecciones del 29 de octubre de 2023) la Alcaldía firmó 2.187 CPS (en las mismas fechas de 2024 y 2025, 324 en promedio), 336 de ellos en sábado o domingo. Su duración mediana fue de 5,0 meses y el 48 % termina en diciembre de 2023, el último mes del gobierno. Las personas con CPS vigente pasaron de 1.178 un mes antes a 2.737 el 28 de julio de 2023 (P07). Durante las restricciones territoriales (29 de junio de 2023 a 29 de octubre de 2023) se firmaron apenas 5 CPS, aunque esas restricciones no prohíben contratar CPS.",2.187 CPS en 30 días; 48 % hasta dic-2023,Las restricciones territoriales no prohíben contratar CPS; no hay base para afirmar uso electoral. Es una coincidencia de calendario que merece explicación de la administración.,Patrón estadístico,PUBLICABLE_CON_CAUTELA,"CPS de personas naturales, Alcaldía central","Sin expedientes no se conoce el motivo de la tanda (presupuesto, proyectos, vigencias).",datos/salidas/07_historia/tablas/p17_junio_de_2023_la_tanda_antes_de_las_elec.csv,datos/salidas/07_historia/graficos/a5_calendario_firmas.png,True
P18,Acto 5 · El reloj político,¿Se firmaron contratos interadministrativos durante la restricción de 2025–2026?,Contratos interadministrativos con fecha de firma dentro de la restricción del artículo 38,"El parágrafo del artículo 38 de la Ley 996 prohíbe a los alcaldes celebrar convenios interadministrativos para ejecutar recursos en los cuatro meses previos a las elecciones; en este ciclo, del 8 de noviembre de 2025 al 21 de junio de 2026. Con fecha de firma en ese periodo, SECOP II registra 6 contratos o convenios interadministrativos de la Alcaldía central (del 26 de diciembre de 2025 al 30 de enero de 2026), por 15,5 miles de millones de pesos corrientes. Después de la restricción y hasta el corte se firmaron 5 más.",6 contratos interadministrativos con firma dentro de la restricción del art. 38,"No es una conclusión legal: la prohibición recae sobre convenios que ejecutan recursos, hay discusión jurídica sobre los contratos interadministrativos y la categoría de SECOP II no basta para clasificarlos. Solo el expediente lo aclara.",Dato descriptivo,PUBLICABLE_CON_CAUTELA,Contratos válidos de la Alcaldía central con justificación interadministrativa,Conteo por fecha de firma registrada; requiere expediente y concepto jurídico de cada contrato.,datos/salidas/07_historia/tablas/p18_contratos_interadministrativos_con_fecha.csv,,True
P19,Acto 5 · El reloj político,"Con el cambio de gobierno, ¿quién siguió?",El nuevo gobierno volvió a contratar a 4 de cada 10 contratistas del anterior,"Al final del gobierno anterior (oct–dic 2023) 2.709 personas tenían CPS vigente. El nuevo gobierno volvió a contratar al 40 % hasta el corte, pero solo al 16 % en el primer trimestre de 2024. Quienes regresaron pasaron una mediana de 160 días sin contrato. En 2024, el 44 % de las personas contratadas venía del gobierno anterior. En total, 1.579 personas tuvieron CPS con ambos gobiernos.",40 % recontratado; espera mediana 160 días,No mide despidos (un CPS termina en su fecha) ni persecución o favoritismo: el nuevo gobierno puede tener otros programas y necesidades.,Patrón estadístico,PUBLICABLE_CON_CAUTELA,"CPS de personas naturales, Alcaldía central, vigencia 1–366 días",Solo ve la Alcaldía central: una persona pudo pasar a otra entidad.,datos/salidas/07_historia/tablas/p19_el_nuevo_gobierno_volvio_a_contratar_a_4.csv,datos/salidas/07_historia/graficos/a5_cambio_de_gobierno.png,True
P20,Acto 5 · El reloj político,¿Cuántos son nuevos cada año y cuántos siguen?,"Dentro de un gobierno la mayoría repite; en el cambio, la mayoría no","Dentro de un mismo gobierno, entre el 57 % y el 79 % de las personas con CPS en un año vuelve a tener CPS al año siguiente. En el paso 2023→2024 repitió el 30 %. Visto desde el otro lado: en 2024 el 66 % de las personas contratadas no había tenido CPS el año anterior, frente a entre 34 % y 49 % en los demás años completos.",57–79 % repite dentro de un gobierno; 30 % en el cambio,Repetir no es favoritismo ni salir es despido. Quien no aparece pudo contratar con otra entidad o en SECOP I.,Patrón estadístico,PUBLICABLE_CON_CAUTELA,"CPS de personas naturales, Alcaldía central",2021 empieza en abril y 2026 es parcial: el paso 2025→2026 es un mínimo.,datos/salidas/07_historia/tablas/p20_dentro_de_un_gobierno_la_mayoria_repite.csv,datos/salidas/07_historia/graficos/a5_rotacion.png,True
P21,Acto 6 · Más allá de las personas,¿Qué dependencias contratan más CPS?,Qué dependencias contratan y cómo cambió,"Donde el objeto del contrato nombra la dependencia (36–63 % de los CPS según el año), las que más CPS concentran en el gobierno actual son Educación, Interior, Seguridad y convivencia. Frente al gobierno anterior, las que más ganaron participación son Seguridad y convivencia (+6,8 puntos) y Infraestructura (+3,2); las que más perdieron, Interior (-5,2) y Talento humano (-4,3). Algunas dependencias dejan de aparecer en 2026, lo que sugiere cambios de nombre o de estructura administrativa.",cobertura 36–63 %,Solo describe los contratos cuyo objeto nombra la dependencia; el resto no se asigna. No muestra el presupuesto de cada secretaría.,Patrón estadístico,PUBLICABLE_CON_CAUTELA,"CPS de personas naturales, Alcaldía central, con dependencia en el objeto",Extracción por texto; la cobertura cambia por año y puede sesgar las participaciones.,datos/salidas/07_historia/tablas/p21_que_dependencias_contratan_y_como_cambio.csv,datos/salidas/07_historia/graficos/a6_dependencias.png,True
P22,Acto 6 · Más allá de las personas,¿En qué años se firma la obra pública?,La obra pública se firmó sobre todo al final del gobierno anterior,"El valor firmado en contratos de obra fue de 71,5 miles de millones en 2022 y 198,4 en 2023, el último año del gobierno anterior; en 2024, primer año del nuevo gobierno, 3,2, y en 2025 18,2 (pesos constantes). La interventoría sigue el mismo ciclo. Coincide con lo que se espera del ciclo de un gobierno local (planear al comienzo, contratar obra al final), pero con un solo periodo por lado no se puede generalizar.","obra 2023: 198,4 mil millones; 2024: 3,2","No mide obra terminada ni pagada, y una sola licitación grande mueve el año. No indica uso electoral.",Patrón estadístico,PUBLICABLE_CON_CAUTELA,Contratos válidos de la Alcaldía central distintos de CPS,Valor firmado; un periodo de gobierno por lado (no permite generalizar). 2026 es parcial.,datos/salidas/07_historia/tablas/p22_la_obra_publica_se_firmo_sobre_todo_al_f.csv,datos/salidas/07_historia/graficos/a6_otros_contratos.png,True
P23,Acto 6 · Más allá de las personas,¿Cómo contrata la Alcaldía lo que no son personas?,Más contratación directa con entidades públicas,"En los contratos distintos de CPS, la contratación directa pesó 6 % del valor en 2022 y 11 % en 2023, y subió a 41 % en 2025. El aumento viene sobre todo de contratos y convenios interadministrativos (36 % del valor en 2025), firmados con entidades y empresas públicas. Entre las empresas y consorcios, los 10 proveedores con más valor reúnen el 39 % del total desde abril de 2021 y los consorcios o uniones temporales, el 34 %.",directa: 6 % (2022) → 41 % (2025),Contratar directamente con otra entidad pública es legal. No se evalúa si cada contrato cumplió los requisitos.,Dato descriptivo,PUBLICABLE_CON_CAUTELA,Contratos válidos de la Alcaldía central distintos de CPS,SECOP llama 'valor cero' a una categoría de interadministrativos que sí tiene valor; se usa la justificación registrada.,datos/salidas/07_historia/tablas/p23_mas_contratacion_directa_con_entidades_p.csv,datos/salidas/07_historia/graficos/a6_otros_contratos.png,True
P24,Acto 7 · Lo que no salta a la vista,¿Cuántos contratos firma una persona en un año?,"Un año, uno o dos contratos","En los años completos, entre 48 % y 63 % de las personas firmó un solo CPS en el año, y entre 3 % y 15 % firmó tres o más. Un CPS empieza típicamente 2 a 3 días después de firmado. Hubo entre 54 y 315 contratos de menos de un mes por año, y SECOP registra 1 CPS con inicio anterior a la firma (posible error de registro).",48–63 % firma un solo CPS al año,Firmar varios contratos en un año no es irregular; tampoco lo es un contrato de menos de un mes.,Dato descriptivo,PUBLICABLE,"CPS de personas, Alcaldía central, años completos",Fechas registradas en SECOP II.,datos/salidas/07_historia/tablas/p24_un_ano_uno_o_dos_contratos.csv,datos/salidas/07_historia/graficos/a7_contratos_por_persona.png,True
P25,Acto 7 · Lo que no salta a la vista,¿Hay un núcleo de personas que siempre está?,Un núcleo pequeño atraviesa los dos gobiernos,"De las 3.548 personas con CPS en 2022, 525 (15 %) firmaron al menos un CPS en cada año hasta 2025, cruzando el cambio de gobierno. 285 personas tuvieron CPS en todos los años observados, de 2021 a 2026.",525 personas con CPS cada año de 2022 a 2025,Estar en todos los años no es favoritismo: puede reflejar experiencia o servicios permanentes. Tampoco es un empleo de planta.,Dato descriptivo,PUBLICABLE,"CPS de personas, Alcaldía central",Solo ve la Alcaldía central.,datos/salidas/07_historia/tablas/p25_un_nucleo_pequeno_atraviesa_los_dos_gobi.csv,datos/salidas/07_historia/graficos/a7_nucleo_permanente.png,True
P26,Acto 7 · Lo que no salta a la vista,¿De dónde salen estos datos y qué tan completos son?,Datos públicos con huecos conocidos,"SECOP I tiene 765 registros de la Alcaldía firmados en 2021: 734 entre enero y marzo y solo 31 de abril en adelante. Eso confirma que la Alcaldía pasó a SECOP II en abril de 2021 y que el análisis debe empezar ahí. La lista de otras entidades de la ciudad en SECOP II no se pudo consultar en esta ejecución. El valor pagado aparece en 94 % de los CPS de 2022 pero en 60 % de los de 2026, que siguen en ejecución: por eso se usa el valor pactado. La clasificación profesional / apoyo a la gestión sale del objeto del contrato; cuando el objeto dice ambas cosas se usa la profesión u oficio nombrado (ingeniero, arquitecto, técnico, auxiliar…). Donde la etiqueta literal y la profesión existen a la vez, coinciden en el 98 % o más de los casos. Quedó ambiguo entre el 0,2 % y el 1,0 % de los CPS según el año.",SECOP II desde abril de 2021,"La base no es un registro de nómina ni de pagos. El estado 'terminado' de SECOP depende de la antigüedad del contrato, no de cómo terminó.",Dato descriptivo,PUBLICABLE,Corrida congelada de SECOP II y verificaciones del 01,Las verificaciones externas dependen de la conexión al ejecutar el 01.,datos/salidas/07_historia/tablas/p26_datos_publicos_con_huecos_conocidos.csv,,True
